Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Штокало,Онисим,Михайлович,Чоловіча,15.03.1949,Соціолог,село Глухів,"узвіз Крайня, буд. 25 кв. 9, Українка , 32889",515 73 88,rudykleonid@example.net
Мазепа,Едита,Олегівна,Жіноча,06.08.1947,Фотограф,хутір Голубівка,"провулок Аркадійська, буд. 73, Рожище, 62150",085 742 40 05,udovenkoarsen@example.com
Забашта,Ірина,Михайлівна,Жіноча,26.11.2002,Будник,селище Тисмениця,"провулок Добровольського, буд. 999 кв. 6, Шостка, 20239",+380 (63) 129-16-65,herman91@example.net
Лисенко,Лесь,Васильович,Чоловіча,09.04.1986,Астронавт,місто Амвросіївка,"провулок Разумовська, буд. 151 кв. 041, Красногорівка, 09337",+380 17 776-90-57,sviatoslava60@example.net
Голобородько,Тетяна,Василівна,Жіноча,08.09.1939,Пілот,хутір Балаклія,"узвіз Станційна 2-га, буд. 796, Липовець, 95225",787-20-81,moskalorest@example.com
Зайченко,Ярема,Артемович,Чоловіча,23.10.1989,Льотчик,село Володимир-Волинський,"парк Макарова, буд. 3, Куп'янськ, 81519",+380 84 364 50 78,kdakhno@example.net
Пушкар,Геннадій,Михайлович,Чоловіча,14.04.1976,Економіст,село Ізюм,"сквер Валіховський, буд. 5, Гуляйполе, 31662",086-41-99,mariana10@example.org
Сиротенко,Златослава,Петрівна,Жіноча,08.10.1986,Філолог,село Кам'янське,"проспект Восьмого березня 6-й, буд. 95, Красилів, 31417",014 096-21-13,nataliia77@example.net
Вітрук,Орина,Василівна,Жіноча,09.10.1954,Електрик,село Буринь,"вулиця Льва Симиренка, буд. 22, Косів, 66391",+380 (08) 705-75-07,volodymyratymchenko@example.com
Шиян,Данна,Денисівна,Жіноча,09.12.1973,Археолог,село Семенівка,"сквер Прорізний, буд. 3, Первомайський , 99112",534-85-08,khomamasliak@example.net
Данченко,Гордій,Ярославович,Чоловіча,26.09.1940,Шериф,місто Южноукраїнськ,"проспект Кустанайський 2-й, буд. 187, Олександрівськ, 45676",+380 25 472-46-92,valenkohryhorii@example.net
Салій,Василина,Петрівна,Жіноча,31.10.1994,Кухар,хутір Ворожба,"шосе Восьмого березня 5-й, буд. 35, Деражня, 84900",+380 86 809-58-50,odarka23@example.org
Єрошенко,Ірена,Сергіївна,Жіноча,14.10.1960,Публіцист,місто Хуст,"вулиця Лермонтовський, буд. 6, Новий Розділ, 11554",+380 (17) 713-26-38,riabetsnadiia@example.org
Терещук,Альберт,Петрович,Чоловіча,08.02.1984,Електрик,місто Нетішин,"проспект 3-тя Суворовська, буд. 6 кв. 87, Миргород, 79347",+380 91 352 40 30,olukash@example.org
Власенко,Болеслав,Васильович,Чоловіча,28.01.1951,Ґрунтознавець,село Тульчин,"набережна Проточний, буд. 2, Феодосія, 94965",089 416 74 75,orest86@example.org
Александренко,Зиновій,Денисович,Чоловіча,15.02.2008,Електротехнік,місто Корсунь-Шевченківський,"площа Флотський 1-й, буд. 2 кв. 02, Кодима, 51153",+380 19 649-20-20,oromanenko@example.org
Вернидуб,Роман,Ярославович,Чоловіча,20.07.1979,Клавішник,місто Сокиряни,"площа Контрадмірала Луніна, буд. 608, Шпола, 98309",+380 01 687-98-33,stefan60@example.net
Нестайко,Єфрем,Андрійович,Чоловіча,04.05.1998,Геофізик,хутір Апостолове,"провулок 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 5, Ананьїв, 28263",037 539-71-69,bhydenkoielysei@example.net
Шеремет,Артем,Ярославович,Чоловіча,21.06.1940,Геолог,село Одеса,"площа Матюшенка, буд. 7, Білогірськ, 30443",+380 09 350 29 17,iosypsuprunenko@example.net
Гресь,Михайло,Михайлович,Чоловіча,12.06.1981,М'ясник,хутір Середина-Буда,"провулок Бреуса, буд. 92 кв. 596, Миргород, 16491",076 392-26-68,gshcherbak@example.net
Каденюк,Соломон,Олегович,Чоловіча,05.07.1980,Кінокритик,селище Здолбунів,"провулок Москеті, буд. 0, Тараща, 91243",036 202 03 22,aishchenko@example.com
Павленко,Омелян,Олегович,Чоловіча,28.11.1993,Маркетолог,місто Хрестівка,"набережна Куяльницький міст, буд. 64, Погребище, 27018",+380 61 040-10-71,dbabarychenko@example.net
Жадан,Демʼян,Петрович,Чоловіча,28.02.1945,Гірничий інженер,хутір Гірське,"шосе Липнева, буд. 3 кв. 310, Армянськ, 02025",+380 89 395-38-75,hohol-ianovskyiiakiv@example.org
Безбородько,Демʼян,Андрійович,Чоловіча,04.04.2006,Живописець,селище Підгородне,"вулиця Армійська, буд. 06 кв. 7, Біла Церква, 11076",+380 25 776-15-26,ieva64@example.com
Дубас,Амалія,Ярославівна,Жіноча,19.01.2001,Історик,місто Бориспіль,"проспект Ширшова, буд. 80 кв. 0, Кропивницький, 96623",598-59-04,demian20@example.net
Артюх,Людмила,Артемівна,Жіноча,14.08.1984,Сценарист,хутір Устилуг,"сквер Щіпний, буд. 0 кв. 60, Снігурівка, 03498",024 015 09 62,fesenkobohdanna@example.net
Жаліло,Василь,Ярославович,Чоловіча,30.12.1980,Пекар,місто Дебальцеве,"парк Новгородський 2-й, буд. 5 кв. 151, Очаків, 85910",251-47-94,oles43@example.org
Гузій,Мілена,Іванівна,Жіноча,11.10.1959,Клавішник,хутір Кам'янське,"площа Деволанівський узвіз, буд. 8 кв. 018, Красилів, 71132",052 017-43-14,lavrenkoviktoriia@example.com
Лупій,Ада,Артемівна,Жіноча,06.04.1945,Ґрунтознавець,місто Гірське,"набережна Овідіопольська дорога, буд. 9, Перемишляни, 92208",+380 97 418-98-56,ludovychenko@example.net
Забіла,Лілія,Денисівна,Жіноча,09.03.1941,Науковець,селище Новогродівка,"провулок Кощового отамана, буд. 1, Українка , 11453",+380 (23) 032-52-25,erika02@example.com
Вертипорох,Христина,Андріївна,Жіноча,24.08.2004,Реставратор,хутір Прилуки,"шосе Кипарисний 3-й, буд. 806 кв. 063, Радомишль, 32192",+380 45 206-32-46,ibevzenko@example.org
Величко,Едита,Петрівна,Жіноча,24.05.1985,Шериф,село Донецьк,"парк Моторний 2-й, буд. 685 кв. 4, Подільськ, 57638",350-19-29,serhiitryhub@example.org
Скирда,Дмитро,Олегович,Чоловіча,18.01.1944,Адвокат,хутір Ланівці,"провулок Якірний, буд. 93, Лозова , 66278",420-31-42,pavlo14@example.com
Дробаха,Марʼяна,Василівна,Жіноча,03.12.1942,Мірошник,селище Кременець,"набережна Колонічна, буд. 72, Бровари, 58883",+380 05 024-03-48,suprunenkoboleslav@example.org
Стельмах,Ярема,Васильович,Чоловіча,05.01.1938,Швачка,село Харків,"узвіз Лінійний, буд. 1, Дубляни, 38835",+380 (21) 871-34-34,derkachirena@example.net
Корсун,Емілія,Василівна,Жіноча,10.10.1956,Графік,селище Дніпрорудне,"сквер Волзький, буд. 756 кв. 6, Липовець, 99969",+380 17 373 96 38,kbashpolchenko@example.org
Гайдабура,Михайло,Михайлович,Чоловіча,25.08.1987,Вчитель,селище Почаїв,"узвіз Педагогічна, буд. 28, Берислав, 12901",429 61 65,olena08@example.net
Кащенко,Тарас,Михайлович,Чоловіча,30.04.1968,Патологоанатом,місто Охтирка,"провулок Новомосковська дорога, буд. 60 кв. 374, Кам'янське, 54552",+380 (24) 509-88-39,piatachenkoteodor@example.com
Забіла,Остап,Денисович,Чоловіча,28.07.1975,Кінорежисер,місто Херсон,"провулок Мазараті, буд. 87, Покровськ, 50307",219 57 18,lupiiserhii@example.net
